city,year,avg_pollutant_value
Alor Gajah,2020,45.5265217
Alor Gajah,2021,49.50585277
Alor Gajah,2022,47.07464114
Alor Gajah,2023,52.55707031
Alor Gajah,2024,54.22380688
Alor Setar,2020,44.13426473
Alor Setar,2021,43.3714181
Alor Setar,2022,41.52435989
Alor Setar,2023,45.72970775
Alor Setar,2024,60.06190236
Balik Pulau,2020,51.1348082
Balik Pulau,2021,47.0401315
Balik Pulau,2022,45.04604652
Balik Pulau,2023,47.40413955
Balik Pulau,2024,52.01208684
Banting,2020,54.622117
Banting,2021,59.17728896
Banting,2022,56.74033214
Banting,2023,66.1708145
Banting,2024,75.76993112
Batu Pahat,2020,41.23133326
Batu Pahat,2021,46.36784351
Batu Pahat,2022,41.81633068
Batu Pahat,2023,48.67355717
Batu Pahat,2024,52.43461257
Besut,2020,41.98942372
Besut,2021,42.14000593
Besut,2022,41.5480092
Besut,2023,46.92564681
Besut,2024,50.54453395
Bintulu,2020,40.29761315
Bintulu,2021,42.2469146
Bintulu,2022,45.5814017
Bintulu,2023,53.51458213
Bintulu,2024,47.94138008
Bukit Mertajam,2020,51.41503319
Bukit Mertajam,2021,50.65910044
Bukit Mertajam,2022,50.41974879
Bukit Mertajam,2023,56.1851679
Bukit Mertajam,2024,56.97069503
Dungun,2020,35.42697012
Dungun,2021,37.97936167
Dungun,2022,36.53962759
Dungun,2023,48.04656535
Dungun,2024,51.08000115
Ipoh,2020,52.31955642
Ipoh,2021,53.834281
Ipoh,2022,52.33918793
Ipoh,2023,54.26973222
Ipoh,2024,57.96676448
Jerantut,2020,44.55695946
Jerantut,2021,46.38252513
Jerantut,2022,41.01881337
Jerantut,2023,46.85371544
Jerantut,2024,45.01648869
Kangar,2020,43.29360541
Kangar,2021,41.14823567
Kangar,2022,38.91468466
Kangar,2023,42.46214211
Kangar,2024,49.37974269
Kapit,2020,26.40691481
Kapit,2021,29.1054888
Kapit,2022,32.98857039
Kapit,2023,36.38367675
Kapit,2024,27.5662696
Kemaman,2020,44.73258927
Kemaman,2021,41.24409598
Kemaman,2022,41.73232627
Kemaman,2023,49.76059728
Kemaman,2024,52.2936439
Keningau,2020,38.70198646
Keningau,2021,39.66814127
Keningau,2022,33.80404393
Keningau,2023,41.51504492
Keningau,2024,41.64440015
Klang,2020,64.27788761
Klang,2021,71.10734758
Klang,2022,61.69720984
Klang,2023,68.09310816
Klang,2024,67.83961538
Kluang,2020,35.48036559
Kluang,2021,41.17309335
Kluang,2022,39.58810553
Kluang,2023,49.3519633
Kluang,2024,51.56232899
Kota Bharu,2020,49.35008402
Kota Bharu,2021,51.54611727
Kota Bharu,2022,50.17230691
Kota Bharu,2023,54.4879747
Kota Bharu,2024,57.99299864
Kota Kinabalu,2020,38.46046986
Kota Kinabalu,2021,39.97986416
Kota Kinabalu,2022,45.33909672
Kota Kinabalu,2023,47.22580767
Kota Kinabalu,2024,48.09333939
Kota Tinggi,2020,33.75414747
Kota Tinggi,2021,40.43309981
Kota Tinggi,2022,37.1870908
Kota Tinggi,2023,45.66152036
Kota Tinggi,2024,38.74495729
Kuala Muda,2023,54.3242764
Kuala Selangor,2020,51.52083385
Kuala Selangor,2021,55.63576461
Kuala Selangor,2022,54.91570809
Kuala Selangor,2023,57.13908438
Kuala Selangor,2024,54.17051402
Kuala Terengganu,2020,49.551545
Kuala Terengganu,2021,51.92473765
Kuala Terengganu,2022,51.26729981
Kuala Terengganu,2023,54.63508571
Kuala Terengganu,2024,55.81150688
Kuantan,2020,41.61057861
Kuantan,2021,42.8467773
Kuantan,2022,41.05467567
Kuantan,2023,49.45695205
Kuantan,2024,50.63556659
Kuching,2020,31.63799791
Kuching,2021,32.43538191
Kuching,2022,29.15436218
Kuching,2023,44.26351407
Kuching,2024,35.12471499
Kulim,2020,46.93615685
Kulim,2021,44.24559277
Kulim,2022,47.76834204
Kulim,2023,53.24922822
Kulim,2024,55.04135835
Langkawi,2020,38.88893882
Langkawi,2021,36.32026592
Langkawi,2022,32.92440567
Langkawi,2023,38.50700622
Langkawi,2024,46.05988448
Larkin,2020,51.80751345
Larkin,2021,55.36996729
Larkin,2022,55.60269645
Larkin,2023,62.78178167
Larkin,2024,55.99246795
Limbang,2020,27.14201065
Limbang,2021,30.85286796
Limbang,2022,27.58185812
Limbang,2023,38.30001522
Limbang,2024,32.52838015
Manjung,2020,51.69519773
Manjung,2021,49.43138389
Manjung,2022,46.17441329
Manjung,2023,55.01290829
Manjung,2024,58.96122959
Melaka Tengah,2020,49.15671085
Melaka Tengah,2021,54.30116825
Melaka Tengah,2022,51.81524951
Melaka Tengah,2023,58.2269349
Melaka Tengah,2024,58.27051698
Miri,2020,43.41240837
Miri,2021,40.13183911
Miri,2022,35.5491057
Miri,2023,41.25733781
Miri,2024,38.27032801
Mukah,2020,27.12539213
Mukah,2021,30.14374018
Mukah,2022,30.2122978
Mukah,2023,40.47310331
Mukah,2024,32.69459169
Nilai,2020,57.43434303
Nilai,2021,59.26999648
Nilai,2022,57.73138644
Nilai,2023,63.89324984
Nilai,2024,61.55686565
Papar,2020,28.14683616
Papar,2021,22.13053016
Papar,2022,18.94167864
Papar,2023,26.044154
Papar,2024,40.19802614
Pasir Gudang,2020,46.86608154
Pasir Gudang,2021,49.64125926
Pasir Gudang,2022,50.74971506
Pasir Gudang,2023,56.60138307
Pasir Gudang,2024,50.42528008
Pengerang,2020,36.10418052
Pengerang,2021,43.89199035
Pengerang,2022,43.89136447
Pengerang,2023,42.44729103
Pengerang,2024,41.13245372
Petaling,2020,59.04590476
Petaling,2021,65.87084163
Petaling,2022,61.73444227
Petaling,2023,62.95378888
Petaling,2024,62.34304359
Port Dickson,2020,47.7989016
Port Dickson,2021,52.18474586
Port Dickson,2022,51.08370685
Port Dickson,2023,56.90492512
Port Dickson,2024,52.66827693
Rompin,2020,42.00609129
Rompin,2021,56.37647265
Rompin,2022,38.11315526
Rompin,2023,43.08751093
Rompin,2024,53.0918437
Samarahan,2020,28.9292709
Samarahan,2021,33.21408524
Samarahan,2022,34.18352077
Samarahan,2023,45.05699724
Samarahan,2024,36.83520619
Sandakan,2020,38.34289179
Sandakan,2021,32.05871793
Sandakan,2022,32.24338644
Sandakan,2023,37.24581786
Sandakan,2024,38.07881671
Sarikei,2020,29.16694694
Sarikei,2021,34.12450336
Sarikei,2022,32.22874917
Sarikei,2023,34.62178246
Sarikei,2024,29.30703176
Seberang Perai Selatan,2020,55.26591636
Seberang Perai Selatan,2021,56.33862265
Seberang Perai Selatan,2022,56.21257088
Seberang Perai Selatan,2023,60.00496938
Seberang Perai Selatan,2024,60.33855769
Seberang Perai Tengah,2020,55.26591636
Seberang Perai Tengah,2021,56.33862265
Seberang Perai Tengah,2022,56.21257088
Seberang Perai Tengah,2023,60.00496938
Seberang Perai Tengah,2024,60.33855769
Seberang Perai Utara,2020,55.26591636
Seberang Perai Utara,2021,56.33862265
Seberang Perai Utara,2022,56.21257088
Seberang Perai Utara,2023,60.00496938
Seberang Perai Utara,2024,60.33855769
Segamat,2020,47.30295815
Segamat,2021,48.40262763
Segamat,2022,49.3974738
Segamat,2023,53.92794419
Segamat,2024,48.88797891
Seremban,2020,47.26543537
Seremban,2021,48.36081469
Seremban,2022,60.31835011
Seremban,2023,60.11587491
Seremban,2024,53.18190275
Shah Alam,2020,56.34373161
Shah Alam,2021,61.82745767
Shah Alam,2022,61.59650344
Shah Alam,2023,63.5370141
Shah Alam,2024,60.44210409
Sibu,2020,33.89319905
Sibu,2021,32.11457318
Sibu,2022,31.46790937
Sibu,2023,37.25309119
Sibu,2024,35.29463119
Sri Aman,2020,30.21112453
Sri Aman,2021,32.23990207
Sri Aman,2022,29.84194594
Sri Aman,2023,36.31482696
Sri Aman,2024,27.18797875
Sungai Petani,2020,46.8768432
Sungai Petani,2021,49.99613885
Sungai Petani,2022,47.65885358
Sungai Petani,2023,48.08220227
Sungai Petani,2024,53.47675758
Taiping,2020,49.35298572
Taiping,2021,48.2492981
Taiping,2022,43.76482911
Taiping,2023,51.31267897
Taiping,2024,56.9187081
Tanah Merah,2020,50.01634811
Tanah Merah,2021,49.30900262
Tanah Merah,2022,46.77958263
Tanah Merah,2023,53.90277725
Tanah Merah,2024,60.16143018
Tangkak,2020,47.06064933
Tangkak,2021,50.39916999
Tangkak,2022,48.84021755
Tangkak,2023,54.37120189
Tangkak,2024,52.40840033
Tanjong Malim,2020,31.62660677
Tanjong Malim,2021,37.23409415
Tanjong Malim,2022,42.18613128
Tanjong Malim,2023,44.26187562
Tanjong Malim,2024,49.65612099
Tawau,2020,27.63521275
Tawau,2021,29.38889658
Tawau,2022,42.87225711
Tawau,2023,47.64899369
Tawau,2024,47.01904161
Temerloh,2020,48.86661301
Temerloh,2021,48.91368881
Temerloh,2022,43.67729038
Temerloh,2023,48.69064047
Temerloh,2024,51.42669764
Timur Laut,2020,49.00706805
Timur Laut,2021,49.51632857
Timur Laut,2022,47.72099314
Timur Laut,2023,51.65576268
Timur Laut,2024,53.59546142
W.P. Kuala Lumpur,2020,54.12868985
W.P. Kuala Lumpur,2021,55.22693109
W.P. Kuala Lumpur,2022,56.86170008
W.P. Kuala Lumpur,2023,63.94304403
W.P. Kuala Lumpur,2024,62.5253182
W.P. Labuan,2020,41.25523224
W.P. Labuan,2021,43.56217848
W.P. Labuan,2022,37.15475013
W.P. Labuan,2023,40.43541071
W.P. Labuan,2024,41.83696433
W.P. Putrajaya,2020,54.28607928
W.P. Putrajaya,2021,53.75258993
W.P. Putrajaya,2022,49.96298677
W.P. Putrajaya,2023,62.01161045
W.P. Putrajaya,2024,63.19354671
Yan,2023,53.47850566
