city,2020,2021,2022,2023,2024
Alor Gajah,45.5265217,49.50585277,47.07464114,52.55707031,54.22380688
Alor Setar,44.13426473,43.3714181,41.52435989,45.72970775,60.06190236
Balik Pulau,51.1348082,47.0401315,45.04604652,47.40413955,52.01208684
Banting,54.622117,59.17728896,56.74033214,66.1708145,75.76993112
Batu Pahat,41.23133326,46.36784351,41.81633068,48.67355717,52.43461257
Besut,41.98942372,42.14000593,41.5480092,46.92564681,50.54453395
Bintulu,40.29761315,42.2469146,45.5814017,53.51458213,47.94138008
Bukit Mertajam,51.41503319,50.65910044,50.41974879,56.1851679,56.97069503
Dungun,35.42697012,37.97936167,36.53962759,48.04656535,51.08000115
Ipoh,52.31955642,53.834281,52.33918793,54.26973222,57.96676448
Jerantut,44.55695946,46.38252513,41.01881337,46.85371544,45.01648869
Kangar,43.29360541,41.14823567,38.91468466,42.46214211,49.37974269
Kapit,26.40691481,29.1054888,32.98857039,36.38367675,27.5662696
Kemaman,44.73258927,41.24409598,41.73232627,49.76059728,52.2936439
Keningau,38.70198646,39.66814127,33.80404393,41.51504492,41.64440015
Klang,64.27788761,71.10734758,61.69720984,68.09310816,67.83961538
Kluang,35.48036559,41.17309335,39.58810553,49.3519633,51.56232899
Kota Bharu,49.35008402,51.54611727,50.17230691,54.4879747,57.99299864
Kota Kinabalu,38.46046986,39.97986416,45.33909672,47.22580767,48.09333939
Kota Tinggi,33.75414747,40.43309981,37.1870908,45.66152036,38.74495729
Kuala Muda,,,,54.3242764,
Kuala Selangor,51.52083385,55.63576461,54.91570809,57.13908438,54.17051402
Kuala Terengganu,49.551545,51.92473765,51.26729981,54.63508571,55.81150688
Kuantan,41.61057861,42.8467773,41.05467567,49.45695205,50.63556659
Kuching,31.63799791,32.43538191,29.15436218,44.26351407,35.12471499
Kulim,46.93615685,44.24559277,47.76834204,53.24922822,55.04135835
Langkawi,38.88893882,36.32026592,32.92440567,38.50700622,46.05988448
Larkin,51.80751345,55.36996729,55.60269645,62.78178167,55.99246795
Limbang,27.14201065,30.85286796,27.58185812,38.30001522,32.52838015
Manjung,51.69519773,49.43138389,46.17441329,55.01290829,58.96122959
Melaka Tengah,49.15671085,54.30116825,51.81524951,58.2269349,58.27051698
Miri,43.41240837,40.13183911,35.5491057,41.25733781,38.27032801
Mukah,27.12539213,30.14374018,30.2122978,40.47310331,32.69459169
Nilai,57.43434303,59.26999648,57.73138644,63.89324984,61.55686565
Papar,28.14683616,22.13053016,18.94167864,26.044154,40.19802614
Pasir Gudang,46.86608154,49.64125926,50.74971506,56.60138307,50.42528008
Pengerang,36.10418052,43.89199035,43.89136447,42.44729103,41.13245372
Petaling,59.04590476,65.87084163,61.73444227,62.95378888,62.34304359
Port Dickson,47.7989016,52.18474586,51.08370685,56.90492512,52.66827693
Rompin,42.00609129,56.37647265,38.11315526,43.08751093,53.0918437
Samarahan,28.9292709,33.21408524,34.18352077,45.05699724,36.83520619
Sandakan,38.34289179,32.05871793,32.24338644,37.24581786,38.07881671
Sarikei,29.16694694,34.12450336,32.22874917,34.62178246,29.30703176
Seberang Perai Selatan,55.26591636,56.33862265,56.21257088,60.00496938,60.33855769
Seberang Perai Tengah,55.26591636,56.33862265,56.21257088,60.00496938,60.33855769
Seberang Perai Utara,55.26591636,56.33862265,56.21257088,60.00496938,60.33855769
Segamat,47.30295815,48.40262763,49.3974738,53.92794419,48.88797891
Seremban,47.26543537,48.36081469,60.31835011,60.11587491,53.18190275
Shah Alam,56.34373161,61.82745767,61.59650344,63.5370141,60.44210409
Sibu,33.89319905,32.11457318,31.46790937,37.25309119,35.29463119
Sri Aman,30.21112453,32.23990207,29.84194594,36.31482696,27.18797875
Sungai Petani,46.8768432,49.99613885,47.65885358,48.08220227,53.47675758
Taiping,49.35298572,48.2492981,43.76482911,51.31267897,56.9187081
Tanah Merah,50.01634811,49.30900262,46.77958263,53.90277725,60.16143018
Tangkak,47.06064933,50.39916999,48.84021755,54.37120189,52.40840033
Tanjong Malim,31.62660677,37.23409415,42.18613128,44.26187562,49.65612099
Tawau,27.63521275,29.38889658,42.87225711,47.64899369,47.01904161
Temerloh,48.86661301,48.91368881,43.67729038,48.69064047,51.42669764
Timur Laut,49.00706805,49.51632857,47.72099314,51.65576268,53.59546142
W.P. Kuala Lumpur,54.12868985,55.22693109,56.86170008,63.94304403,62.5253182
W.P. Labuan,41.25523224,43.56217848,37.15475013,40.43541071,41.83696433
W.P. Putrajaya,54.28607928,53.75258993,49.96298677,62.01161045,63.19354671
Yan,,,,53.47850566,
