district,date,population
Alor Gajah,2020,249.4
Alor Gajah,2021,251
Alor Gajah,2022,251.8
Alor Gajah,2023,256.3
Alor Gajah,2024,260.5
Asajaya,2020,33.6
Asajaya,2021,33.8
Asajaya,2022,34.1
Asajaya,2023,34.5
Asajaya,2024,34.9
Bachok,2020,157.3
Bachok,2021,158.9
Bachok,2022,160.7
Bachok,2023,163.1
Bachok,2024,165.5
Bagan Datuk,2020,82.8
Bagan Datuk,2021,83.6
Bagan Datuk,2022,82.3
Bagan Datuk,2023,82.8
Bagan Datuk,2024,83.4
Baling,2020,142.6
Baling,2021,144.2
Baling,2022,144.9
Baling,2023,146.7
Baling,2024,148.1
Bandar Baharu,2020,44.4
Bandar Baharu,2021,44.4
Bandar Baharu,2022,44.7
Bandar Baharu,2023,45.1
Bandar Baharu,2024,45.6
Barat Daya,2020,237.7
Barat Daya,2021,238.5
Barat Daya,2022,239.6
Barat Daya,2023,244.2
Barat Daya,2024,248.3
Batang Padang,2020,124
Batang Padang,2021,126.3
Batang Padang,2022,125.7
Batang Padang,2023,126.2
Batang Padang,2024,126.7
Batu Pahat,2020,495.3
Batu Pahat,2021,497.2
Batu Pahat,2022,497.5
Batu Pahat,2023,504
Batu Pahat,2024,510.4
Bau,2020,52.6
Bau,2021,52.9
Bau,2022,53.1
Bau,2023,53.6
Bau,2024,53.9
Beaufort,2020,75.7
Beaufort,2021,76.5
Beaufort,2022,76.1
Beaufort,2023,77
Beaufort,2024,77.6
Belaga,2020,22.5
Belaga,2021,22.8
Belaga,2022,22.6
Belaga,2023,22.7
Belaga,2024,22.5
Beluran,2020,77.1
Beluran,2021,80.5
Beluran,2022,76.3
Beluran,2023,83.9
Beluran,2024,90
Beluru,2020,28.7
Beluru,2021,29.3
Beluru,2022,28
Beluru,2023,27.7
Beluru,2024,26.8
Bentong,2020,116.8
Bentong,2021,115.7
Bentong,2022,116.7
Bentong,2023,119.6
Bentong,2024,121.2
Bera,2020,98.1
Bera,2021,98
Bera,2022,98.9
Bera,2023,100.1
Bera,2024,101
Besut,2020,154.2
Besut,2021,156.8
Besut,2022,159.3
Besut,2023,162.6
Besut,2024,165.4
